category,name,formula_latex,formula_ascii,description,parameters,parameter_values,complexity_time,complexity_space,pipeline_stages,is_lossless,prerequisites
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 4, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 3, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 67108864, ""lc"": 4, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZ4 (Fast LZ),"\text{token} = (lit\_len : 4, match\_len : 4) + \text{literals} + \text{offset}","token = (literal_length:4bits, match_length:4bits) + literals + offset16",Extremely fast LZ77 variant optimized for decompression speed,"{""acceleration"": ""compression level""}","{""acceleration"": 1}",O(n),O(64KB),"[1, 2]",True,[]
DICTIONARY,LZ4 (Fast LZ),"\text{token} = (lit\_len : 4, match\_len : 4) + \text{literals} + \text{offset}","token = (literal_length:4bits, match_length:4bits) + literals + offset16",Extremely fast LZ77 variant optimized for decompression speed,"{""acceleration"": ""compression level""}","{""acceleration"": 2}",O(n),O(64KB),"[1, 2]",True,[]
DICTIONARY,LZ4 (Fast LZ),"\text{token} = (lit\_len : 4, match\_len : 4) + \text{literals} + \text{offset}","token = (literal_length:4bits, match_length:4bits) + literals + offset16",Extremely fast LZ77 variant optimized for decompression speed,"{""acceleration"": ""compression level""}","{""acceleration"": 4}",O(n),O(64KB),"[1, 2]",True,[]
DICTIONARY,LZ4 (Fast LZ),"\text{token} = (lit\_len : 4, match\_len : 4) + \text{literals} + \text{offset}","token = (literal_length:4bits, match_length:4bits) + literals + offset16",Extremely fast LZ77 variant optimized for decompression speed,"{""acceleration"": ""compression level""}","{""acceleration"": 8}",O(n),O(64KB),"[1, 2]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 1}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 2}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 3}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 4}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 5}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 6}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 7}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 8}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 9}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 10}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 11}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 12}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 13}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 14}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 15}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 16}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 17}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 18}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 19}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 20}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 21}",O(n),O(window_size),"[1, 2, 3]",True,[]
DICTIONARY,Zstandard (ZSTD),FSE(\text{literals}) + FSE(\text{sequences}) + \text{match copying},ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,"{""level"": ""compression level""}","{""level"": 22}",O(n),O(window_size),"[1, 2, 3]",True,[]
ENTROPY_CODER,Huffman Coding,L(x) = \lceil -\log_2 p(x) \rceil \text{ (optimal prefix code)},code_length(x) = ceil(-log2(p(x))),Optimal prefix-free code for known distributions; used in DEFLATE,"{""adaptive"": ""whether to adapt code dynamically""}","{""adaptive"": false}",O(n + |Σ| log |Σ|),O(|Σ|),[3],True,[]
ENTROPY_CODER,Huffman Coding,L(x) = \lceil -\log_2 p(x) \rceil \text{ (optimal prefix code)},code_length(x) = ceil(-log2(p(x))),Optimal prefix-free code for known distributions; used in DEFLATE,"{""adaptive"": ""whether to adapt code dynamically""}","{""adaptive"": true}",O(n + |Σ| log |Σ|),O(|Σ|),[3],True,[]
ENTROPY_CODER,Canonical Huffman,\text{code}(s) = \text{base}[len(s)] + \text{rank within length},code(s) = base[length(s)] + rank_within_same_length,Huffman variant requiring only code lengths to reconstruct; used in DEFLATE,{},{},O(n + |Σ| log |Σ|),O(|Σ|),[3],True,[]
ENTROPY_CODER,Arithmetic Coding,"[low, high) \leftarrow [low + range \cdot CDF(x-1), low + range \cdot CDF(x))","[low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Near-optimal entropy coding; approaches H(X) bits per symbol,"{""precision"": ""arithmetic precision bits""}","{""precision"": 16}",O(n),O(1),[3],True,[]
ENTROPY_CODER,Arithmetic Coding,"[low, high) \leftarrow [low + range \cdot CDF(x-1), low + range \cdot CDF(x))","[low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Near-optimal entropy coding; approaches H(X) bits per symbol,"{""precision"": ""arithmetic precision bits""}","{""precision"": 24}",O(n),O(1),[3],True,[]
ENTROPY_CODER,Arithmetic Coding,"[low, high) \leftarrow [low + range \cdot CDF(x-1), low + range \cdot CDF(x))","[low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Near-optimal entropy coding; approaches H(X) bits per symbol,"{""precision"": ""arithmetic precision bits""}","{""precision"": 32}",O(n),O(1),[3],True,[]
ENTROPY_CODER,Arithmetic Coding,"[low, high) \leftarrow [low + range \cdot CDF(x-1), low + range \cdot CDF(x))","[low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Near-optimal entropy coding; approaches H(X) bits per symbol,"{""precision"": ""arithmetic precision bits""}","{""precision"": 64}",O(n),O(1),[3],True,[]
ENTROPY_CODER,Range Coding,range = high - low; \quad high = low + range \cdot p_{cum}(x); \quad low += range \cdot p_{cum}(x-1),"range = high - low; update [low, high) based on cumulative probability",Arithmetic coding variant with byte-aligned output; used in LZMA,{},{},O(n),O(1),[3],True,[]
ENTROPY_CODER,Asymmetric Numeral Systems (ANS),"C(x, s) = \lfloor x/f_s \rfloor \cdot 2^n + CDF(s) + (x \mod f_s)","C(state, symbol) = floor(state/freq) * 2^n + CDF(symbol) + (state mod freq)",Modern entropy coder combining arithmetic efficiency with table-based speed,"{""table_log"": ""log2 of state table size""}","{""table_log"": 9}",O(n),O(2^table_log),[3],True,[]
ENTROPY_CODER,Asymmetric Numeral Systems (ANS),"C(x, s) = \lfloor x/f_s \rfloor \cdot 2^n + CDF(s) + (x \mod f_s)","C(state, symbol) = floor(state/freq) * 2^n + CDF(symbol) + (state mod freq)",Modern entropy coder combining arithmetic efficiency with table-based speed,"{""table_log"": ""log2 of state table size""}","{""table_log"": 10}",O(n),O(2^table_log),[3],True,[]
ENTROPY_CODER,Asymmetric Numeral Systems (ANS),"C(x, s) = \lfloor x/f_s \rfloor \cdot 2^n + CDF(s) + (x \mod f_s)","C(state, symbol) = floor(state/freq) * 2^n + CDF(symbol) + (state mod freq)",Modern entropy coder combining arithmetic efficiency with table-based speed,"{""table_log"": ""log2 of state table size""}","{""table_log"": 11}",O(n),O(2^table_log),[3],True,[]
